from,to,relationship,year
fb,mw,1,2017
ft,mf,1,2017
rss,mi,1,2017
tl,aa,1,2017
bs,mj,1,2017
co,me,1,2017
mat,mv,1,2017
ck,mu,1,2017
jb,mb,1,2017
fb,dfpv,2,2017
fb,ep,2,2009
fb,bt,2,2013
fb,g,2,2013
fb,kp,2,2014
fb,g,2,2017
fb,ac,6,2006
fb,unf,3,2013
fb,ec,3,2013
fb,bm,3,2013
fb,g,2,1996
fb,g,2,1999
fb,fa,2,2013
fb,aau,2,2013
fb,eua,2,2013
fb,cov,2,2013
fb,elv,2,2013
fb,jdc,4,2013
fb,zif,4,2013
fb,bsmk,3,2013
fb,ae,3,2013
fb,um,6,2010
fb,yc,2,2000
fb,fk,2,2009
fb,sa,2,2009
fb,afrau,2,2009
fb,ha,2,2009
fb,epp,2,2009
fb,spi,3,2010
fb,hb,3,
fb,epc,2,2021
fb,aca,3,2021
fb,zif,3,2021
fb,dfg,3,2021
fb,twfe,3,2020
fb,iep,2,2020
fb,ebd,3,2020
fb,abhia,3,2017
fb,botfoe,3,2017
fb,dfi,3,2017
fb,aau,2,2017
fb,spo,7,
fb,cspi,7,2004
fb,um,7,2010
ft,ua,2,2017
ft,fia,2,2017
ft,ar,2,2017
ft,ga,2,2017
ft,aih,2,2017
ft,wa,2,2017
ft,va,2,2017
ft,awig,2,2017
ft,fbl,6,2017
ft,rs,6,2009
ft,ass,4,2017
ft,arbf,4,2017
ft,kfw,3,2017
ft,vwr,3,2017
ft,gzs,3,2017
ft,bfi,3,2017
ft,snv,3,2017
ft,gwd,6,1999
ft,fdp,2,2003
ft,lfa,2,
ft,bt,2,2005
ft,fmg,2,2005
ft,fdp,2,2011
ft,fdp,2,2017
ft,ur,7,2000
ft,uc,7,2000
ft,uh,7,2000
ft,ut,7,2012
ft,fmg,2,2005
ft,ha,2,2009
ft,fdp,2,2011
ft,fdp,2,2017
ft,ur,7,2000
ft,uc,7,2000
ft,uh,7,2000
ft,ut,7,2000
ft,fdp,2,1998
ft,fdpb,2,2003
ft,juli,2,2006
ft,kboe,3,2008
ft,krboe,3,2009
ft,fdp,2,2011
ft,fdp,2,2017
ft,rwas,3,2020
ft,vdfg,3,
ft,sca,3,
ft,lgs,3,
ft,dlrg,3,
ft,dag,3,
ft,dig,3,
ft,helpev,3,
ft,avr,3,
ft,vdfr,3,
ft,ha,2,2009
ft,awig,2,2009
ft,fia,2,2009
ft,reaus,2,2009
ft,parlbei,2,2009
ft,fmg,2,2009
ft,stabmechg,2,2009
ft,pm,4,2009
ft,flug,3,2009
ft,muell,3,2009
ft,bsmk,3,2009
ft,ths,3,2009
ft,ha,2,2021
rss,uf,7,1983
rss,uz,7,1989
rss,buk,6,1997
rss,bt,2,2005
rss,staatunn,2,2013
rss,spd,2,1994
rss,spdk,2,2001
rss,gr,2,1999
rss,regiov,3,2009
rss,kwa,3,2004
rss,spd,2,2007
rss,verdi,3,2009
rss,gver,3,2009
rss,eusol,3,2009
rss,klar,3,2009
rss,hsz,3,2009
rss,staatunn,3,2017
rss,uf,3,2009
rss,kfw,3,2009
rss,grs,4,2009
rss,dbu,3,2009
rss,wspd,3,2009
rss,awo,3,2009
rss,asf,2,1999
rss,awut,2,2009
rss,avbs,2,2009
tl,aa,1,2017
tl,uk,7,2002
tl,lau,6,2001
tl,uk,6,2017
tl,gj,2,2000
tl,kvg,2,2002
tl,svw,2,2004
tl,srw,2,2009
tl,kvg,2,2009
tl,bt,2,2011
tl,grp,2,2011
tl,g,2,2019
tl,vaus,2,2019
tl,ha,2,2019
tl,rpa,2,2019
tl,ga,2,2019
tl,vg,2,2019
tl,nato,2,2019
tl,ha,2,2013
tl,vaus,2,2013
tl,diparl,2,2009
tl,grp,2,2009
tl,awut,2,2009
tl,rbg,6,2018
tl,hs,6,2009
tl,owg,3,2017
tl,bfim,4,2017
tl,eud,4,2017
tl,g,2,1998
tl,gj,2,1999
tl,mdw,4,
tl,zvs,4,2009
tl,aif,3,2017
tl,dgf,3,2021
tl,difg,3,2017
tl,ghd,3,2018
bs,juli,2,2005
bs,uko,7,2006
bs,lgst,7,2012
bs,nsu,2,2014
bs,juli,2,2010
bs,fdp,2,2006
bs,fdpr,2,2011
bs,fdp,2,2013
bs,fdpr,2,2014
bs,gmb,2,2014
bs,ktr,2,2019
bs,aih,2,2017
bs,gzf,2,2017
bs,msu,6,2016
bs,lhp,6,2017
bs,gmb,2,2018
bs,bmw,3,2019
bs,zfs,4,2018
bs,ai,3,
bs,brb,3,
bs,kcp,3,
co,bt,1,1994
co,bt,1,2013
co,efh,2,2004
co,g,2,1981
co,me,1,2021
co,aau,2,2013
co,ubv,6,2021
co,csl,4,2018
co,drh,4,2019
co,ey,4,2018
co,im,4,2020
co,siaf,4,2020
co,tn,4,2018
co,tlsb,4,2019
co,agvs,3,2017
co,dsgi,4,2017
co,ssg,4,2017
co,ifm,3,2017
co,iff,3,2017
co,ajc,3,2013
co,ai,3,2017
co,as,3,2013
co,bmw,3,2013
co,dpz,3,2017
co,dtf,3,2013
co,fc,3,2017
co,gzs,3,2017
co,hb,3,2017
co,ikw,3,2013
co,sgf,3,2017
co,snv,3,2013
co,sbe,3,2017
co,ths,3,2013
co,tdsa,3,2013
co,wwl,3,2017
co,vea,2,2017
co,efh,7,
co,zdf,3,2013
co,aw,2,2013
co,g,2,2008
co,lvg,2,1989
mat,ut,7,
mat,fdp,2,1983
mat,ep,2,2009
mat,hka,2,2011
mat,vrn,2,2004
mat,rms,3,2017
mat,ths,3,2017
mat,wds,3,2017
mat,dhbw,6,2017
mat,bt,1,2017
mat,sdv,1,2017
mat,aw,2,2017
mat,ga,2,2017
mat,aas,2,2017
mat,aft,2,2017
mat,afg,2,2017
mat,iks,2,2017
mat,agvs,3,2017
mat,cnet,4,2017
mat,leuco,4,2017
mat,kfw,3,2020
mat,ksk,3,2017
mat,lbank,3,2017
mat,bb,3,2017
mat,dk,3,2017
mat,idi,3,2017
mat,wcd,3,2017
mat,twf,4,2017
mat,juli,2,1991
mat,fdpsr,2,1989
mat,lvfdp,2,1991
mat,fdp,2,1999
mat,fdp,2,2013
mat,ltbw,2,2001
mat,fdp,2,2003
mat,prfdp,2,2013
ck,abau,2,2017
ck,bt,2,2021
ck,reaus,2,2013
ck,ha,2,2017
ck,afu,2,2013
ck,ut,7,2009
ck,mbwh,6,2009
ck,mver,6,2010
ck,g,2,1998
ck,g,2,2002
ck,lvg,2,2007
ck,lvg,2,2009
ck,afkoa,2,2011
ck,mu,1,2021
ck,bfb,3,2021
ck,ife,3,2021
ck,prsb,3,2017
ck,vbwo,3,2018
ck,afk,2,2013
ck,vea,2,2013
ck,bt,2,2013
jb,um,7,2010
jb,seco,7,2014
jb,juli,2,2010
jb,shf,3,2018
jb,aids,3,2019
jb,bt,2,2017
jb,fdp,2,2017
jb,kbda,2,2017
jb,afbi,2,2017
jb,mb,2,2021
jb,ecoc,3,2021
jb,vphev,3,2021
jb,lisl,3,2021
jb,dsw,3,2021
jb,fdp,2,2006